,permit,permit_type_code,agentname,permit_curr_status,permit_address,permit_desc_purpose,permit_start_date,permit_end_date,permit_received_date,permit_appr_date
Print,17EXC-4445,Excavation,"Sonic Telecom, LLC",CLOSED,,P6751 4400 25th St Anchor,8/7/17 0:00,8/9/17 0:00,8/1/17 15:59,8/3/17 15:11
Print,17EXC-5318,Excavation,"Sonic Telecom, LLC",EXPIRED,,"1609-20,25,26",9/25/17 0:00,10/13/17 0:00,9/12/17 15:50,9/22/17 7:40
Print,17EXC-5324,Excavation,"Sonic Telecom, LLC",EXPIRED,,"1609-10,11",9/25/17 0:00,10/9/17 0:00,9/13/17 8:21,9/21/17 15:06
Print,17EXC-5823,Excavation,"Sonic Telecom, LLC",EXPIRED,,SONIC ANCHOR PLACEMENT PKG 31.,10/23/17 0:00,11/6/17 0:00,10/11/17 7:47,10/12/17 15:53
Print,17EXC-5934,Excavation,"Sonic Telecom, LLC",EXPIRED,,Pole Reinforcement,11/6/17 0:00,11/7/17 0:00,10/18/17 13:21,10/25/17 9:34
Print,17EXC-6271,Excavation,"Sonic Telecom, LLC",CLOSED,,EDT GIG ANC 22nd ave x Taraval,11/27/17 0:00,11/29/17 0:00,11/8/17 12:47,11/17/17 14:32
Print,17SMF-0009,SurfaceFac,"Sonic Telecom, LLC",UNASSIGN,,,,,3/14/17 9:06,
Print,17TOC-0163,TempOccup,"Sonic Telecom, LLC",CLOSED,,,1/23/17 7:00,1/27/17 17:00,1/10/17 6:56,1/12/17 14:16
Print,17TOC-0170,TempOccup,"Sonic Telecom, LLC",CLOSED,,,1/30/17 7:00,2/3/17 17:00,1/10/17 8:02,1/19/17 8:25
Print,17TOC-0172,TempOccup,"Sonic Telecom, LLC",CLOSED,,,1/30/17 7:00,2/3/17 17:00,1/10/17 8:27,1/24/17 12:12
Print,17TOC-0334,TempOccup,"Sonic Telecom, LLC",CLOSED,,,2/6/17 7:00,2/10/17 17:00,1/20/17 7:43,2/1/17 8:58
